DVD,HHS,total,totalA,totalB
201210,4,1067,119,8
201210,5,613,67,15
201210,6,1202,227,14
201210,7,362,37,1
201210,8,1094,159,4
201210,9,500,43,3
201210,10,317,25,8
201211,1,176,9,2
201211,2,195,22,3
201211,3,410,17,6
201211,4,1107,110,9
201211,5,691,82,29
201211,6,1165,188,17
201211,7,372,26,0
201211,8,1140,173,1
201211,9,612,62,8
201211,10,323,22,14
201212,1,189,8,1
201212,2,188,16,5
201212,3,392,13,8
201212,4,1254,116,13
201212,5,609,60,16
201212,6,902,105,16
201212,7,318,12,3
201212,8,956,139,7
201212,9,554,62,7
201212,10,373,28,32
201213,1,165,9,1
201213,2,201,6,5
201213,3,423,5,4
201213,4,1405,124,12
201213,5,505,24,15
201213,6,986,86,23
201213,7,246,4,0
201213,8,886,104,5
201213,9,596,65,14
201213,10,403,44,59
201214,1,170,13,1
201214,2,270,9,4
201214,3,347,7,11
201214,4,1028,106,14
201214,5,451,20,10
201214,6,872,73,13
201214,7,264,2,0
201214,8,694,76,7
201214,9,654,52,16
201214,10,449,39,82
201215,1,177,11,2
201215,2,142,5,4
201215,3,375,12,7
201215,4,1135,58,19
201215,5,438,15,14
201215,6,704,50,7
201215,7,267,1,1
201215,8,667,64,8
201215,9,562,40,15
201215,10,434,44,67
201216,1,178,12,3
201216,2,175,11,6
201216,3,371,13,8
201216,4,853,79,12
201216,5,342,3,9
201216,6,773,26,18
201216,7,219,1,0
201216,8,635,26,7
201216,9,397,39,15
201216,10,391,28,69
201217,1,169,11,2
201217,2,148,7,6
201217,3,283,9,13
201217,4,814,64,32
201217,5,335,9,11
201217,6,619,22,10
201217,7,225,0,3
201217,8,510,28,5
201217,9,510,20,11
201217,10,385,24,51
201218,1,133,5,0
201218,2,129,8,7
201218,3,276,8,2
201218,4,762,53,25
201218,5,286,7,9
201218,6,521,17,8
201218,7,204,0,0
201218,8,476,16,0
201218,9,478,19,11
201218,10,320,8,33
201219,1,143,1,0
201219,2,160,13,7
201219,3,298,8,12
201219,4,729,43,34
201219,5,242,8,11
201219,6,442,4,6
201219,7,184,1,1
201219,8,334,11,4
201219,9,461,15,6
201219,10,283,12,26
201220,1,180,5,1
201220,2,127,6,6
201220,3,238,1,7
201220,4,691,33,36
201220,5,273,0,10
201220,6,417,7,4
201220,7,161,0,1
201220,8,305,10,5
201220,9,453,12,13
201220,10,313,9,46
201221,1,128,2,2
201221,2,122,6,3
201221,3,254,2,3
201221,4,781,48,61
201221,5,228,2,5
201221,6,454,6,1
201221,7,159,0,1
201221,8,299,0,1
