"RepWeekDate","RepWeekCode","Season","RSVtest","RSVpos","HHS"
"4/16/2016",1615,1516,1851,30,9
"4/16/2016",1615,1516,881,58,10
"4/23/2016",1616,1516,648,26,1
"4/23/2016",1616,1516,1506,49,2
"4/23/2016",1616,1516,1420,26,3
"4/23/2016",1616,1516,1007,26,4
"4/23/2016",1616,1516,3246,108,5
"4/23/2016",1616,1516,1787,36,6
"4/23/2016",1616,1516,654,31,7
"4/23/2016",1616,1516,1132,43,8
"4/23/2016",1616,1516,1866,26,9
"4/23/2016",1616,1516,731,40,10
"4/30/2016",1617,1516,530,17,1
"4/30/2016",1617,1516,1384,40,2
"4/30/2016",1617,1516,1280,23,3
"4/30/2016",1617,1516,933,22,4
"4/30/2016",1617,1516,2904,85,5
"4/30/2016",1617,1516,1574,44,6
"4/30/2016",1617,1516,549,21,7
"4/30/2016",1617,1516,933,39,8
"4/30/2016",1617,1516,1775,17,9
"4/30/2016",1617,1516,702,20,10
"5/7/2016",1618,1516,471,11,1
"5/7/2016",1618,1516,756,20,2
"5/7/2016",1618,1516,1102,10,3
"5/7/2016",1618,1516,880,17,4
"5/7/2016",1618,1516,2640,37,5
"5/7/2016",1618,1516,1420,22,6
"5/7/2016",1618,1516,527,23,7
"5/7/2016",1618,1516,859,26,8
"5/7/2016",1618,1516,1370,10,9
"5/7/2016",1618,1516,648,16,10
"5/14/2016",1619,1516,423,7,1
"5/14/2016",1619,1516,690,17,2
"5/14/2016",1619,1516,916,14,3
"5/14/2016",1619,1516,941,11,4
"5/14/2016",1619,1516,2312,23,5
"5/14/2016",1619,1516,1385,14,6
"5/14/2016",1619,1516,544,21,7
"5/14/2016",1619,1516,806,27,8
"5/14/2016",1619,1516,799,9,9
"5/14/2016",1619,1516,606,18,10
"5/21/2016",1620,1516,398,6,1
"5/21/2016",1620,1516,579,6,2
"5/21/2016",1620,1516,561,6,3
"5/21/2016",1620,1516,865,9,4
"5/21/2016",1620,1516,2121,20,5
"5/21/2016",1620,1516,1307,20,6
"5/21/2016",1620,1516,454,16,7
"5/21/2016",1620,1516,780,15,8
"5/21/2016",1620,1516,829,11,9
"5/21/2016",1620,1516,492,10,10
"5/28/2016",1621,1516,365,5,1
"5/28/2016",1621,1516,526,8,2
"5/28/2016",1621,1516,651,2,3
"5/28/2016",1621,1516,844,7,4
"5/28/2016",1621,1516,1953,28,5
"5/28/2016",1621,1516,1234,14,6
"5/28/2016",1621,1516,451,3,7
"5/28/2016",1621,1516,643,10,8
"5/28/2016",1621,1516,761,6,9
