HHS	DVD	age	rcu	pi	flu	allcause	pop	AH1P	AH3	B	RSV
1	201201	5	1362	204	0	1897	4282262	0	0	0	0.00156645273848838
1	201202	1	2	0	0	17	1661330	0	0	0	0.00116204233409611
1	201202	2	3	1	0	7	4813643	0	0	0	0.00116204233409611
1	201202	3	55	3	0	167	12750654	0	0	0	0.00116204233409611
1	201202	4	204	22	0	376	6217095	0	0	0	0.00116204233409611
1	201202	5	1440	200	0	1985	4285480	0	0	0	0.00116204233409611
1	201203	1	0	0	0	12	1661020	0	0	0	0.00330349182682771
1	201203	2	2	0	0	4	4812884	0	0	0	0.00330349182682771
1	201203	3	64	10	0	146	12750024	0	0	0	0.00330349182682771
1	201203	4	200	15	0	361	6218005	0	0	0	0.00330349182682771
1	201203	5	1401	204	1	1947	4288689	0	0	0	0.00330349182682771
1	201204	1	5	0	0	14	1660709	5.80642143616099e-06	3.4838528616966e-05	0	0.00272802883282506
1	201204	2	0	0	0	4	4812127	5.80642143616099e-06	3.4838528616966e-05	0	0.00272802883282506
1	201204	3	55	5	0	139	12749397	5.80642143616099e-06	3.4838528616966e-05	0	0.00272802883282506
1	201204	4	230	24	0	371	6218920	5.80642143616099e-06	3.4838528616966e-05	0	0.00272802883282506
1	201204	5	1390	189	1	1996	4291889	5.80642143616099e-06	3.4838528616966e-05	0	0.00272802883282506
1	201205	1	3	0	0	20	1660398	0	0	0	0.00287095198836896
1	201205	2	0	0	0	6	4811371	0	0	0	0.00287095198836896
1	201205	3	70	4	0	140	12748771	0	0	0	0.00287095198836896
1	201205	4	198	19	0	360	6219843	0	0	0	0.00287095198836896
1	201205	5	1359	215	0	1917	4295081	0	0	0	0.00287095198836896
1	201206	1	3	0	0	15	1660087	0	0	0	0.00298528624684282
1	201206	2	4	1	0	8	4810617	0	0	0	0.00298528624684282
1	201206	3	50	11	0	144	12748148	0	0	0	0.00298528624684282
1	201206	4	191	20	1	326	6220772	0	0	0	0.00298528624684282
1	201206	5	1422	210	0	1950	4298263	0	0	0	0.00298528624684282
1	201207	1	0	0	0	17	1659776	0	0	0	0.00227213671494957
1	201207	2	0	0	0	5	4809864	0	0	0	0.00227213671494957
1	201207	3	58	9	0	151	12747527	0	0	0	0.00227213671494957
1	201207	4	185	24	0	312	6221708	0	0	0	0.00227213671494957
